"COD_GERENCIA_CATASTRO","COD_CCAA_INE","COD_DELEGACION_CATASTRO","COD_PROVINC_INE","COD_MUNICIPIO_CATASTRO","COD_MUNICIPIO_INE","COD_MUNICIPIO_IGN","ARH","TIPO_EXPLOTACION","AC","CC","VB_SUBPARCE","TIPO_FINCA","PCATASTRAL1","PCATASTRAL2","CARGO","SUBPARCELA","SUPERFICIE","SUP_SUBPARCELA","SUP_CONSTRUIDA","V_SUELO","VALOR_CALCULADO","VALOR_CALCULADO_SUBPARCELA","PORC_VCALC_SUBPARC","CLASIF_VCALC_SUBPARC","V_CONSTRUCCION","V_CATASTRAL","V_CATASTRAL_SUBPARCELA","V_CATASTRAL_SUBPAR_HECTAREA","PORC_SUPERF","CLASIF_SUPERF_SUBPARC","N_SUPARCELAS","RN","ID_MUESTRA","FECHA_EFECTO","MES_EFECTO","ANIO_EFECTO","ANIO_IAMIR","ID_ESTADO","ID_MOTIVO_ESTADO","VALOR_TRANS","VALOR_TRANS_SUBPARCELA","ANIO_ASIGNA_ESTADO","COORX","COORY","NINTERNO","IP","TIPO","AATIPO","CIRCULARIDAD","CONVEXIDAD","ELONGACION","PLUVIOMETRIA","TIPO_VERANO","ETP","VER","TMAX","TM","TMIN","CLASIF","INV","ARIDEZ","TUSEC","TUREG","REGIHU","REGITE","PLU","PSECO","PFRIO","PCAL","FECHA_CALC","ID_SUBPARCELA","ALTURA_MEDIA","PENDIENTE_MEDIA","POTENCIALAGROLOGICO","ORIENTACION_MEDIA","1_DISTANCIA","1_DELEG","1_MUNIC","1_MVRVALOR","1_ZON_VAL","2_DISTANCIA","2_DELEG","2_MUNIC","2_MVRVALOR","2_ZON_VAL","3_DISTANCIA","3_DELEG","3_MUNIC","3_MVRVALOR","3_ZON_VAL","4_DISTANCIA","4_DELEG","4_MUNIC","4_MVRVALOR","4_ZON_VAL","5_DISTANCIA","5_DELEG","5_MUNIC","5_MVRVALOR","5_ZON_VAL","6_DISTANCIA","6_DELEG","6_MUNIC","6_MVRVALOR","6_ZON_VAL","7_DISTANCIA","7_DELEG","7_MUNIC","7_MVRVALOR","7_ZON_VAL","8_DISTANCIA","8_DELEG","8_MUNIC","8_MVRVALOR","8_ZON_VAL","9_DISTANCIA","9_DELEG","9_MUNIC","9_MVRVALOR","9_ZON_VAL"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400236",0,"0",7960,7960,,,3438.72,3438.72,100,1,,261.84,261.84,328.94,100,1,1,1,497310,"13/02/2015","02","2015",2016,2,,3184,3184,2015,-395614.52439,4835055.32904,183958231,3,7.813157,1989,0.72,1,0.24,390.51,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,05/08/2015,150002876,615.97,1.84,2,109.03,5938.62,45,72,210,"U44",5978.31,45,72,210,"U43",5991.54,45,72,210,"U43",9357.2,45,79,210,"PR48",9383.3,45,79,210,"U50",9438.72,45,79,210,"R47",10059.21,45,167,210,"R46",10341.48,45,167,210,"R45",10392.64,45,167,210,"R45"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4600187",0,"0",26342,26342,,,11379.74,11379.74,100,1,,1467.06,1467.06,556.93,100,1,1,1,579377,"20/10/2014","10","2014",2016,3,24,19486.82,19486.82,2015,-398144.06853,4836054.45299,183958365,2,13.222266,1989,0.647,0.974,0.337,391.24,"BSk",750,5,34,14,5,65,7,3,10,40,4,13,500,5,6,2,10/10/2015,150001475,616.82,3.24,2,313.86,7703.19,45,79,210,"U50",7749.43,45,79,210,"PR48",7806.05,45,79,210,"R47",7869.37,45,72,210,"U43",7894.32,45,72,210,"U44",7941.98,45,72,210,"U43",9767.32,45,194,100,"U48",9857.24,45,194,100,"U46",9953.88,45,194,100,"U45"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4800330",0,"a",9185,7056,,,4403.27,3048.19,69.23,5,,428.35,392.87,556.79,76.82,5,3,1,956566,"02/09/2013","09","2013",2016,3,68,8500,5884.18,2016,-398502.82024,4838506.66371,183958523,2,13.222266,1989,0.702,0.997,0.257,389.26,"BSk",850,5,34,14,5,65,7,3,10,40,4,13,500,5,6,2,11/11/2015,150003746,569.52,1.26,2,23.27,5978.69,45,79,210,"U50",5996.22,45,79,210,"PR48",6066.36,45,79,210,"R47",8568.16,45,72,210,"U43",8590.69,45,72,210,"PU45",8625.76,45,72,210,"R44",9236.91,45,26,100,"U41",9240.93,45,26,100,"U42",9335.13,45,26,100,"U39"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4500210",0,"0",7826,7826,,,3380.83,3380.83,100,1,,435.8,435.8,556.86,100,1,1,1,528591,"14/02/2014","02","2014",2016,2,,3999.1,3999.1,2015,-395979.15184,4837801.62883,183958769,2,13.222266,1989,0.546,0.999,0.502,393.11,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,01/10/2015,150027618,580.4,2.53,2,43.8,6570.23,45,72,210,"U43",6627.63,45,72,210,"R44",6637.07,45,72,210,"PU45",7409.24,45,79,210,"PR48",7485.82,45,79,210,"R47",7501.96,45,79,210,"U50",9179.36,45,26,100,"U42",9186.72,45,26,100,"U41",9263.21,45,26,100,"U39"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400085",0,"0",8369,8369,,,3615.41,3615.41,100,1,,465.99,465.99,556.8,100,1,1,1,497307,"06/02/2015","02","2015",2016,2,,3347.4,3347.4,2015,-394255.22873,4834915.72608,183959146,2,13.222266,1989,0.25,0.99,0.77,393.85,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,05/08/2015,150002890,608.78,1.99,2,301.87,4844.91,45,72,210,"U44",4898.44,45,72,210,"U43",4900.87,45,72,210,"U43",9498.8,45,167,210,"R46",9764.11,45,167,210,"R45",9844.18,45,167,210,"R45",9914.58,45,79,210,"PR48",9988.17,45,79,210,"U50",9992.17,45,79,210,"R47"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","5000064",0,"0",3385,3385,,,1462.32,1462.32,100,1,,111.26,111.26,328.69,100,1,1,1,579378,"20/10/2014","10","2014",2016,3,24,2543.03,2543.03,2015,-397841.76867,4838476.00971,183959901,3,7.813157,1989,0.619,0.999,0.378,392.06,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,10/10/2015,150002140,571.78,2.72,2,350.87,6255.25,45,79,210,"PR48",6271.63,45,79,210,"U50",6338.31,45,79,210,"R47",8141.97,45,72,210,"U43",8146.52,45,72,210,"PU45",8184,45,72,210,"U45",9083.72,45,26,100,"U41",9084.93,45,26,100,"U42",9176.95,45,26,100,"U39"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400061",0,"0",8842,8842,,,3819.74,3819.74,100,1,,290.88,290.88,328.98,100,1,1,1,497306,"30/01/2015","01","2015",2016,2,,3536.8,3536.8,2015,-394644.73476,4834943.13615,183960280,3,7.813157,1989,0.69,0.99,0.11,390.51,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,05/08/2015,150001378,607.24,1.87,2,258.83,5174.76,45,72,210,"U44",5218.22,45,72,210,"U43",5227.43,45,72,210,"U43",9683.3,45,167,210,"R46",9817.69,45,79,210,"PR48",9875.97,45,79,210,"U50",9896.6,45,79,210,"R47",9954.61,45,167,210,"R45",10025.79,45,167,210,"R45"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4700154",0,"a",12045,9048,,,6018.63,3908.74,64.94,5,,350.65,297.65,328.97,75.12,5,2,1,600708,"24/09/2014","09","2014",2016,3,69,2000,1298.88,2016,-398808.01936,4836693.74887,183960549,3,7.813157,1989,0.563,0.948,0.388,387.7,"BSk",750,5,34,14,5,65,7,3,10,40,4,13,500,5,6,2,14/10/2015,150009738,597.98,2.74,2,61.3,7100.37,45,79,210,"U50",7156.85,45,79,210,"PR48",7208.03,45,79,210,"R47",8517.07,45,72,210,"U43",8576.13,45,72,210,"U44",8603.81,45,72,210,"R44",9836.36,45,194,100,"U48",9914.24,45,194,100,"U46",10005.35,45,194,100,"U45"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4800061",0,"0",14188,14188,,,6129.22,6129.22,100,1,,790.11,790.11,556.89,100,1,1,1,595337,"08/10/2014","10","2014",2016,2,,3900,3900,2015,-398521.69035,4838352.97128,183960736,2,13.222266,1989,0.528,0.923,0.458,389.26,"BSk",850,5,34,14,5,65,7,3,10,40,4,13,500,5,6,2,13/10/2015,150022202,572.05,2.08,2,37.59,6052.07,45,79,210,"U50",6069.74,45,79,210,"PR48",6139.84,45,79,210,"R47",8579.84,45,72,210,"U43",8613.91,45,72,210,"PU45",8638.8,45,72,210,"R44",9318.62,45,26,100,"U41",9322.36,45,26,100,"U42",9416.34,45,26,100,"U39"
8,7,45,45,59,59,"45059",827,"AGR","TAS","C-",4320,"RUS","45059A0","4400217",0,"0",13283,13283,,,5738.26,5738.26,100,1,,436.99,436.99,328.98,100,1,1,1,956019,"26/09/2013","09","2013",2016,2,,3985,3985,2015,-396451.80971,4834691.44361,183962701,3,7.813157,1989,0.424,0.954,0.519,388.96,"BSk",750,4,34,14,5,67,7,3,10,40,4,18,500,5,6,2,10/11/2015,150029149,619.9,3.34,2,103.25,6477.6,45,72,210,"U44",6534.54,45,72,210,"U43",6556.59,45,72,210,"U43",9246.09,45,79,210,"U50",9258.48,45,79,210,"PR48",9332.15,45,79,210,"R47",9958.38,45,194,100,"U48",10032.14,45,167,210,"R46",10069.39,45,194,100,"U46"
